t_mono_ns,t_wall,backend,synthetic,util_gpu_pct,mem_bus_busy_pct,mem_used_bytes,mem_total_bytes,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,sm_active_frac,dram_active_frac,tensor_active_frac,kv_cache_perc,num_running,num_waiting
7419257921137,1781486572.2554436,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,53.74,400.0,1095.0,1215.0,47.0,,,,0.0,0.0,0.0
7419552568837,1781486572.5500913,nvidia-smi,False,98.0,29.0,38441844736.0,41875931136.0,232.51,400.0,1365.0,1215.0,52.0,,,,0.01965576942662184,3.0,3.0
7419833050966,1781486572.8305738,nvidia-smi,False,94.0,89.0,38441844736.0,41875931136.0,249.64,400.0,1410.0,1215.0,51.0,,,,0.0,0.0,0.0
7421797222496,1781486574.7947478,nvidia-smi,False,70.0,29.0,38441844736.0,41875931136.0,416.42,400.0,1380.0,1215.0,58.0,,,,0.01965576942662184,3.0,57.0
7422062499286,1781486575.0600224,nvidia-smi,False,98.0,36.0,38441844736.0,41875931136.0,410.65,400.0,1395.0,1215.0,60.0,,,,0.04603320093695895,7.0,53.0
7422323924986,1781486575.3214478,nvidia-smi,False,99.0,36.0,38441844736.0,41875931136.0,419.93,400.0,1380.0,1215.0,61.0,,,,0.07241063244729606,11.0,49.0
7422579096556,1781486575.5766191,nvidia-smi,False,99.0,36.0,38441844736.0,41875931136.0,397.59,400.0,1380.0,1215.0,61.0,,,,0.09878806395763318,15.0,45.0
7422837523246,1781486575.8350458,nvidia-smi,False,98.0,36.0,38441844736.0,41875931136.0,389.77,400.0,1380.0,1215.0,61.0,,,,0.12506365210306547,19.0,41.0
7423096777376,1781486576.0943003,nvidia-smi,False,98.0,36.0,38441844736.0,41875931136.0,403.1,400.0,1380.0,1215.0,61.0,,,,0.15133924024849776,23.0,37.0
7423359151856,1781486576.3566751,nvidia-smi,False,98.0,36.0,38441844736.0,41875931136.0,345.42,400.0,1380.0,1215.0,61.0,,,,0.17751298502902535,27.0,33.0
7423613350306,1781486576.610873,nvidia-smi,False,99.0,37.0,38441844736.0,41875931136.0,420.2,400.0,1380.0,1215.0,62.0,,,,0.20358488644464812,31.0,29.0
7423874291906,1781486576.8718147,nvidia-smi,False,98.0,37.0,38441844736.0,41875931136.0,402.23,400.0,1365.0,1215.0,62.0,,,,0.2297586312251757,35.0,25.0
7424129271996,1781486577.1267948,nvidia-smi,False,99.0,38.0,38441844736.0,41875931136.0,408.92,400.0,1365.0,1215.0,62.0,,,,0.2428964252978918,37.0,23.0
7424373518456,1781486577.3710415,nvidia-smi,False,99.0,39.0,38441844736.0,41875931136.0,410.38,400.0,1350.0,1215.0,63.0,,,,0.2693757001731337,41.0,19.0
7424622069396,1781486577.6195922,nvidia-smi,False,98.0,40.0,38441844736.0,41875931136.0,338.22,400.0,1380.0,1215.0,62.0,,,,0.29575313168347084,45.0,15.0
7424869805385,1781486577.8673284,nvidia-smi,False,99.0,41.0,38441844736.0,41875931136.0,398.46,400.0,1380.0,1215.0,62.0,,,,0.32202871982890313,49.0,11.0
7425117243736,1781486578.1147668,nvidia-smi,False,99.0,42.0,38441844736.0,41875931136.0,404.82,400.0,1365.0,1215.0,63.0,,,,0.3483043079743354,53.0,7.0
7425377278525,1781486578.3748014,nvidia-smi,False,98.0,43.0,38441844736.0,41875931136.0,403.96,400.0,1365.0,1215.0,63.0,,,,0.3614421020470516,55.0,5.0
7425622476065,1781486578.619999,nvidia-smi,False,97.0,45.0,38441844736.0,41875931136.0,383.41,400.0,1365.0,1215.0,63.0,,,,0.3876158468275792,59.0,1.0
7425873080016,1781486578.8706033,nvidia-smi,False,97.0,65.0,38441844736.0,41875931136.0,285.67,400.0,1410.0,1215.0,56.0,,,,0.406355025970058,60.0,0.0
7426364980976,1781486579.3625042,nvidia-smi,False,93.0,80.0,38441844736.0,41875931136.0,273.19,400.0,1410.0,1215.0,55.0,,,,0.4138914349730115,60.0,0.0
7426854941525,1781486579.852465,nvidia-smi,False,93.0,80.0,38441844736.0,41875931136.0,283.61,400.0,1410.0,1215.0,55.0,,,,0.4208167837865363,60.0,0.0
7427298651036,1781486580.2961743,nvidia-smi,False,93.0,80.0,38441844736.0,41875931136.0,276.05,400.0,1410.0,1215.0,55.0,,,,0.43426010795396675,60.0,0.0
7428166140536,1781486581.163664,nvidia-smi,False,92.0,79.0,38441844736.0,41875931136.0,250.83,400.0,1410.0,1215.0,53.0,,,,0.0,0.0,0.0
