t_mono_ns,t_wall,backend,synthetic,util_gpu_pct,mem_bus_busy_pct,mem_used_bytes,mem_total_bytes,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,sm_active_frac,dram_active_frac,tensor_active_frac,kv_cache_perc,num_running,num_waiting
7524766647394,1781486677.76417,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,83.7,400.0,1095.0,1215.0,44.0,,,,0.0,0.0,0.0
7525060325134,1781486678.0578477,nvidia-smi,False,99.0,33.0,38441844736.0,41875931136.0,336.49,400.0,1380.0,1215.0,50.0,,,,0.01965576942662184,3.0,3.0
7525306558364,1781486678.304081,nvidia-smi,False,94.0,89.0,38441844736.0,41875931136.0,235.68,400.0,1410.0,1215.0,48.0,,,,0.0,0.0,0.0
7529151500544,1781486682.1490235,nvidia-smi,False,68.0,32.0,38441844736.0,41875931136.0,420.2,400.0,1395.0,1215.0,56.0,,,,0.01965576942662184,3.0,57.0
7529422887853,1781486682.4204104,nvidia-smi,False,98.0,36.0,38441844736.0,41875931136.0,395.87,400.0,1380.0,1215.0,57.0,,,,0.04603320093695895,7.0,53.0
7529682651313,1781486682.680174,nvidia-smi,False,99.0,36.0,38441844736.0,41875931136.0,415.02,400.0,1395.0,1215.0,58.0,,,,0.07241063244729606,11.0,49.0
7529937266993,1781486682.9347901,nvidia-smi,False,99.0,36.0,38441844736.0,41875931136.0,377.97,400.0,1365.0,1215.0,58.0,,,,0.09878806395763318,15.0,45.0
7530203979873,1781486683.2015026,nvidia-smi,False,98.0,36.0,38441844736.0,41875931136.0,381.08,400.0,1380.0,1215.0,58.0,,,,0.12506365210306547,19.0,41.0
7530456935433,1781486683.4544585,nvidia-smi,False,99.0,36.0,38441844736.0,41875931136.0,397.86,400.0,1380.0,1215.0,59.0,,,,0.15133924024849776,23.0,37.0
7530718735704,1781486683.7162583,nvidia-smi,False,98.0,37.0,38441844736.0,41875931136.0,408.6,400.0,1380.0,1215.0,59.0,,,,0.20358488644464812,31.0,29.0
7531250463533,1781486684.2479858,nvidia-smi,False,98.0,37.0,38441844736.0,41875931136.0,409.46,400.0,1395.0,1215.0,59.0,,,,0.2297586312251757,35.0,25.0
7531508031153,1781486684.5055537,nvidia-smi,False,98.0,37.0,38441844736.0,41875931136.0,392.77,400.0,1365.0,1215.0,60.0,,,,0.2561360627355128,39.0,21.0
7531764415513,1781486684.761938,nvidia-smi,False,97.0,39.0,38441844736.0,41875931136.0,416.74,400.0,1365.0,1215.0,60.0,,,,0.2693757001731337,41.0,19.0
7532008389243,1781486685.005912,nvidia-smi,False,98.0,40.0,38441844736.0,41875931136.0,326.01,400.0,1365.0,1215.0,60.0,,,,0.29575313168347084,45.0,15.0
7532260132373,1781486685.2576551,nvidia-smi,False,97.0,41.0,38441844736.0,41875931136.0,395.55,400.0,1380.0,1215.0,60.0,,,,0.32202871982890313,49.0,11.0
7532508191453,1781486685.5057144,nvidia-smi,False,99.0,42.0,38441844736.0,41875931136.0,403.1,400.0,1380.0,1215.0,60.0,,,,0.3483043079743354,53.0,7.0
7532761919653,1781486685.759442,nvidia-smi,False,99.0,43.0,38441844736.0,41875931136.0,395.55,400.0,1365.0,1215.0,60.0,,,,0.374478052754863,57.0,3.0
7533026014143,1781486686.0235374,nvidia-smi,False,97.0,44.0,38441844736.0,41875931136.0,378.76,400.0,1365.0,1215.0,60.0,,,,0.3876158468275792,59.0,1.0
7533273513763,1781486686.2710364,nvidia-smi,False,92.0,78.0,38441844736.0,41875931136.0,269.41,400.0,1410.0,1215.0,54.0,,,,0.4069660861594867,60.0,0.0
7533780814373,1781486686.7783368,nvidia-smi,False,93.0,79.0,38441844736.0,41875931136.0,254.61,400.0,1410.0,1215.0,53.0,,,,0.4130766880537733,60.0,0.0
7534176371763,1781486687.1738946,nvidia-smi,False,92.0,79.0,38441844736.0,41875931136.0,274.32,400.0,1410.0,1215.0,52.0,,,,0.41959466340767904,60.0,0.0
7534595839273,1781486687.5933619,nvidia-smi,False,93.0,80.0,38441844736.0,41875931136.0,277.83,400.0,1410.0,1215.0,52.0,,,,0.42652001222120384,60.0,0.0
7535042162093,1781486688.0396845,nvidia-smi,False,93.0,80.0,38441844736.0,41875931136.0,257.47,400.0,1410.0,1215.0,52.0,,,,0.4338527344943477,60.0,0.0
7535514933863,1781486688.5124564,nvidia-smi,False,93.0,80.0,38441844736.0,41875931136.0,263.3,400.0,1410.0,1215.0,52.0,,,,0.44118545676749155,60.0,0.0
7535989048923,1781486688.9865718,nvidia-smi,False,92.0,80.0,38441844736.0,41875931136.0,267.68,400.0,1410.0,1215.0,52.0,,,,0.4485181790406355,60.0,0.0
7536467418643,1781486689.4649413,nvidia-smi,False,93.0,80.0,38441844736.0,41875931136.0,268.22,400.0,1410.0,1215.0,52.0,,,,0.45503615439454115,60.0,0.0
7536898500983,1781486689.8960235,nvidia-smi,False,93.0,80.0,38441844736.0,41875931136.0,262.11,400.0,1410.0,1215.0,52.0,,,,0.46196150320806595,60.0,0.0
7537381701272,1781486690.3792238,nvidia-smi,False,93.0,80.0,38441844736.0,41875931136.0,263.3,400.0,1410.0,1215.0,52.0,,,,0.46888685202159075,60.0,0.0
7537839536463,1781486690.8370588,nvidia-smi,False,93.0,80.0,38441844736.0,41875931136.0,279.29,400.0,1410.0,1215.0,52.0,,,,0.47581220083511555,60.0,0.0
7538298773143,1781486691.2962954,nvidia-smi,False,94.0,81.0,38441844736.0,41875931136.0,271.14,400.0,1410.0,1215.0,52.0,,,,0.4831449231082595,60.0,0.0
7538786563732,1781486691.784086,nvidia-smi,False,92.0,80.0,38441844736.0,41875931136.0,246.71,400.0,1410.0,1215.0,52.0,,,,0.3246766473164273,40.0,0.0
7539186982452,1781486692.184505,nvidia-smi,False,92.0,84.0,38441844736.0,41875931136.0,247.57,400.0,1410.0,1215.0,50.0,,,,0.0,0.0,0.0
