t_mono_ns,t_wall,backend,synthetic,util_gpu_pct,mem_bus_busy_pct,mem_used_bytes,mem_total_bytes,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,sm_active_frac,dram_active_frac,tensor_active_frac,kv_cache_perc,num_running,num_waiting
7264236867444,1781486417.2343903,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,71.15,400.0,1395.0,1215.0,50.0,,,,0.0,0.0,0.0
7264520731904,1781486417.5182548,nvidia-smi,False,95.0,90.0,38441844736.0,41875931136.0,324.56,400.0,1410.0,1215.0,56.0,,,,0.0,0.0,0.0
7268216860104,1781486421.2143831,nvidia-smi,False,95.0,89.0,38441844736.0,41875931136.0,239.81,400.0,1410.0,1215.0,55.0,,,,0.0032589876769528736,1.0,0.0
7271822144643,1781486424.8196678,nvidia-smi,False,94.0,88.0,38441844736.0,41875931136.0,249.1,400.0,1395.0,1215.0,58.0,,,,0.0032589876769528736,1.0,0.0
7275539046313,1781486428.5365696,nvidia-smi,False,,,,,,,,,,,,,0.0032589876769528736,1.0,0.0
7282906218352,1781486435.9037418,nvidia-smi,False,,,,,,,,,,,,,0.0032589876769528736,1.0,0.0
7290271249652,1781486443.268773,nvidia-smi,False,95.0,90.0,38441844736.0,41875931136.0,250.51,400.0,1380.0,1215.0,58.0,,,,0.0032589876769528736,1.0,0.0
7293997015821,1781486446.9945393,nvidia-smi,False,95.0,80.0,38441844736.0,41875931136.0,375.25,400.0,1365.0,1215.0,58.0,,,,0.0032589876769528736,1.0,0.0
7297697058491,1781486450.694582,nvidia-smi,False,95.0,90.0,38441844736.0,41875931136.0,432.66,400.0,1380.0,1215.0,58.0,,,,0.0032589876769528736,1.0,0.0
7301393714320,1781486454.3912382,nvidia-smi,False,,,,,,,,,,,,,0.0032589876769528736,1.0,0.0
7308723762449,1781486461.7212868,nvidia-smi,False,95.0,90.0,38441844736.0,41875931136.0,434.99,400.0,1365.0,1215.0,59.0,,,,0.0032589876769528736,1.0,0.0
7312465389389,1781486465.4629128,nvidia-smi,False,95.0,90.0,38441844736.0,41875931136.0,308.02,400.0,1365.0,1215.0,59.0,,,,0.0032589876769528736,1.0,0.0
7316154659458,1781486469.1521828,nvidia-smi,False,95.0,74.0,38441844736.0,41875931136.0,408.33,400.0,1365.0,1215.0,59.0,,,,0.0032589876769528736,1.0,0.0
7319844928338,1781486472.8424518,nvidia-smi,False,94.0,88.0,38441844736.0,41875931136.0,251.42,400.0,1365.0,1215.0,59.0,,,,0.0032589876769528736,1.0,0.0
7323554281597,1781486476.5518055,nvidia-smi,False,32.0,30.0,38441844736.0,41875931136.0,81.92,400.0,1410.0,1215.0,49.0,,,,0.0,0.0,0.0
