run_id,config_id,model,mode,request_rate,concurrency,prompt_len,output_len,ttft_p50,ttft_p95,ttft_p99,ttft_mean,tpot_p50,tpot_p95,tpot_p99,tpot_mean,itl_p50,itl_p95,itl_p99,itl_mean,e2e_p50,e2e_p95,e2e_p99,e2e_mean,output_tps,total_tps,req_per_s,goodput,slo_attainment,success_rate,n_requests,n_failed,gpu_util_mean,gpu_util_max,mem_used_max_mib,power_mean_w,power_max_w,kv_cache_max,offered_qps,achieved_qps,saturation_flag,bench_duration_s
2026-06-15T01-19-20Z_393d65,closed-ratena-conc16-pin1024-pout128,llama3.1-8b,closed,,16,1024,128,277.5080205001359,986.8564925002829,,369.5179110666837,20.997484287402862,22.283753066535144,,20.572365291994313,15.91803000019354,75.90597254979912,129.18925859962656,20.57236529199431,2980.324789999486,3641.8741634999606,,2982.208303149961,654.2030185359918,5887.827166823926,5.110961082312436,4.940595712902021,0.9666666666666667,1.0,60,0,89.88888888888889,99.0,36661.0,352.0688888888889,419.07,0.1026581118240146,,5.110961082312436,False,11.73947502900046
2026-06-15T01-19-20Z_393d65,closed-ratena-conc16-pin1024-pout256,llama3.1-8b,closed,,16,1024,256,279.18624450057905,920.0872759993214,,369.4142651833014,18.584438547059463,19.163315217648034,,18.303682590653715,16.004304500256694,16.513283000222145,128.80984340003124,18.303682590653718,5050.122745000408,5653.3128260500225,,5036.853325799999,770.3326698555987,3851.663349277994,3.0091119916234326,2.8586563920422607,0.95,1.0,60,0,91.33333333333333,99.0,36661.0,352.8305555555555,417.34,0.1059170995009675,,3.0091119916234326,False,19.93943733800006
2026-06-15T01-19-20Z_393d65,closed-ratena-conc16-pin512-pout128,llama3.1-8b,closed,,16,512,128,223.0935204997877,545.225549499628,,248.52664185000322,16.971233377956903,17.83592168503566,,16.952488666142173,15.090795500327658,15.612139450104223,100.4949702003705,16.952488666142173,2407.60180999996,2688.517078999348,,2401.4927024500594,805.6886132145771,4028.443066072886,6.294442290738884,6.294442290738884,1.0,1.0,60,0,85.66666666666667,99.0,36661.0,355.7322222222222,434.72,0.0431815867196252,,6.294442290738884,False,9.53221861899965
2026-06-15T01-19-20Z_393d65,closed-ratena-conc16-pin512-pout256,llama3.1-8b,closed,,16,512,256,218.71337449965722,530.9827490992575,,245.50594770000015,16.152047627449562,16.56142979411515,,16.109761119346302,15.177440499883232,15.65382644953388,49.08981620003033,16.1097611193463,4367.632094500095,4646.533872999862,,4353.4950331333075,886.1843180447144,2658.552954134143,3.4616574923621655,3.4616574923621655,1.0,1.0,60,0,83.88888888888889,98.0,36661.0,328.59666666666664,449.5,0.0472553213158162,,3.4616574923621655,False,17.332737318
2026-06-15T01-19-20Z_393d65,closed-ratena-conc4-pin1024-pout128,llama3.1-8b,closed,,4,1024,128,145.83315050003876,205.3684669996073,,138.60491103332606,15.091486732281615,15.557463468115124,,15.151509712598926,14.15504000033252,14.475661500046044,73.14423529968735,15.151509712598925,2062.404745000549,2077.4006525005007,,2062.8466445333893,247.96183798426657,2231.656541858399,1.9372018592520825,1.9372018592520825,1.0,1.0,60,0,89.0625,96.0,36661.0,315.41999999999996,420.52,0.0197576127915266,,1.9372018592520825,False,30.972507956999834
2026-06-15T01-19-20Z_393d65,closed-ratena-conc4-pin1024-pout256,llama3.1-8b,closed,,4,1024,256,145.98562000037418,215.2074174999596,,147.49524988334696,14.633183019608017,14.87157649196032,,14.623849425882332,14.166500000101223,14.449780550148716,14.797576000573827,14.623849425882332,3876.284224000301,3941.8034894497396,,3876.576853483342,264.0134473339439,1320.0672366697193,1.0313025286482183,1.0313025286482183,1.0,1.0,60,0,89.0625,96.0,36661.0,293.115,418.48,0.0146654445462878,,1.0313025286482183,False,58.17885473299975
2026-06-15T01-19-20Z_393d65,closed-ratena-conc4-pin512-pout128,llama3.1-8b,closed,,4,512,128,132.08091050000803,139.27670949979074,,112.72072764998788,13.958521145669213,14.616753917716133,,14.115086571784913,13.945480000074895,14.189889000226685,14.509443599681616,14.115086571784913,1904.6608644998742,1907.7694789995803,,1905.3367222666718,268.56145260070224,1342.8072630035113,2.0981363484429862,2.0981363484429862,1.0,1.0,60,0,87.0,95.0,36661.0,325.5591666666667,434.44,0.0032589876769528,,2.0981363484429862,False,28.596806896999624
2026-06-15T01-19-20Z_393d65,closed-ratena-conc4-pin512-pout256,llama3.1-8b,closed,,4,512,256,132.53571950008336,144.69393144995593,,113.27701448331027,13.955604133331923,14.28840113509603,,14.032910549999869,13.945650000096066,14.250141500042446,14.448030699904848,14.032910549999869,3690.224919499542,3700.389451999399,,3691.669204733277,277.28261692971046,831.8478507891314,1.0831352223816815,1.0831352223816815,1.0,1.0,60,0,81.66666666666667,95.0,36661.0,285.6433333333334,434.99,0.0032589876769528,,1.0831352223816815,False,55.39474551300009
2026-06-15T01-19-20Z_393d65,closed-ratena-conc64-pin1024-pout128,llama3.1-8b,closed,,64,1024,128,2122.7526150000813,3988.8815959999647,,2146.242553883318,37.36894527165124,48.89816923661933,,37.09719666128678,24.623315499866294,138.3992780004064,142.93503160013643,37.09719666128678,6869.178834499962,7086.938989999953,,6857.5865298667395,1078.2917133037631,9704.625419733868,8.42415401018565,1.5444282352007024,0.18333333333333332,1.0,60,0,91.91666666666667,99.0,36661.0,344.1133333333334,420.2,0.4342601079539667,,8.42415401018565,False,7.122376908999286
2026-06-15T01-19-20Z_393d65,closed-ratena-conc64-pin1024-pout256,llama3.1-8b,closed,,64,1024,256,2129.8660755001038,3994.502196499934,,2149.403795883351,31.475234645099327,37.18018112764737,,31.33017768895436,25.12746000002153,131.47391400011657,142.16082729994923,31.33017768895436,10155.971668999882,10369.11003900018,,10138.599106566713,1475.6285762208774,7378.142881104387,5.7641741258628025,1.1528348251725604,0.2,1.0,60,0,91.65625,99.0,36661.0,321.04281249999997,420.2,0.4831449231082595,,5.7641741258628025,False,10.409123439000723
